Title,Address,District,PostingDate,PostType,Price,Area,Direction,Bedrooms,Bathrooms,Floors,Width_meters,Legal,Interior,Entrancewidth,Area_m2,Price_ty,Bedrooms_n,Bathrooms_n,Floors_n,PropertyType,Legal_cat,Interior_cat,Direction_cat,Price_per_m2,log_Price,log_Area
Top 10 căn đầu tư tốt nhất tại Vinhome Cổ Loa - mua trực tiếp CĐT chiết khấu 22.5% LH: 0818 008 ***,"Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,16/12/2024,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa",15 tỷ,63 m²,0,0,0,5 tầng,0,0,0,0,63.0,15.0,5.0,5.0,5.0,"Nhà biệt thự, liền kề",Chưa rõ,Chưa rõ,Chưa rõ,238.0952380952381,2.70805020110221,4.143134726391533
Tổng kho hàng chuyển nhượng vị trí đẹp giá rẻ - giá cho nhà đầu cơ/tiêu dùng,"Dự án An Lạc Green Symphony, Đường Vành Đai 3.5, Xã Vân Canh, Hoài Đức, Hà Nội",Hoài Đức,16/12/2024,"Nhà biệt thự, liền kề tại An Lạc Green Symphony","21,5 tỷ",90 m²,Tây - Nam,0,0,4 tầng,5 m,* Pháp lý: Tất cả các căn đã ký Hợp đồng mua bán.,0,58 m,90.0,21.5,5.0,5.0,4.0,"Nhà biệt thự, liền kề",HĐMB,Chưa rõ,Tây - Nam,238.88888888888889,3.068052935133617,4.499809670330265
Bán biệt thự song lập 150m2 Vin Ocean Park Gia Lâm.Giá 26 tỷ. Cơ hội mua để ở và đầu tư hấp dẫn,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,16/12/2024,"Nhà biệt thự, liền kề tại Vinhomes Ocean Park Gia Lâm",26 tỷ,150 m²,0,0,0,0,0,Sổ đỏ.,0,0,150.0,26.0,5.0,5.0,4.0,"Nhà biệt thự, liền kề",Sổ đỏ/Sổ hồng,Chưa rõ,Chưa rõ,173.33333333333334,3.258096538021482,5.0106352940962555
"Quỹ căn hộ Studio, 1N, 2N, 3N chính chủ gửi bán pháp lý rõ ràng, giá cắt lỗ tại Ocean Park","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,11/12/2024,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"2,2 tỷ",43 m²,Tây,1 phòng,1 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ.,0,43.0,2.2,1.0,1.0,1.0,Căn hộ chung cư,Sổ đỏ/Sổ hồng,Đầy đủ/Cao cấp,Tây,51.16279069767442,0.7884573603642703,3.7612001156935624
"Quỹ căn đặc biệt dự án Viha Complex - Viha Leciva, cam kết rẻ nhất, cập nhật 24/24: 0977 917 ***","Viha Complex, 107, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Thanh Xuân,16/12/2024,Căn hộ chung cư tại Viha Complex,83 triệu/m²,"72,11 m²",0,2 phòng,0,0,0,0,0,0,72.11,5.98513,2.0,2.0,1.0,Căn hộ chung cư,Chưa rõ,Chưa rõ,Chưa rõ,83.0,1.789278059743129,4.2781927309286685
"Quỹ căn chuyển nhượng NGON - BỔ - RẺ 135m2 - 300m2 (Giá bán 145tr/m2 cả xây,mua là thắng)-KO ẢO","An Lạc Green Symphony, Vân Canh, Hoài Đức, Hà Nội",Hoài Đức,16/12/2024,"Nhà biệt thự, liền kề tại An Lạc Green Symphony",160 triệu/m²,224 m²,Đông - Nam,0,0,0,15 m,0,0,0,224.0,35.84,5.0,5.0,4.0,"Nhà biệt thự, liền kề",Chưa rõ,Chưa rõ,Đông - Nam,160.0,3.57906458810673,5.4116460518550396
"Quỹ căn stu,1-3PN chính chủ view đẹp, pháp lý rõ ràng, giá rẻ nhất, cắt lỗ tại Vinhomes Oceanpark","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,05/12/2024,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"2,65 tỷ",59 m²,0,2 phòng,1 phòng,0,0,Sổ đỏ/ Sổ hồng.,0,0,59.0,2.65,2.0,1.0,1.0,Căn hộ chung cư,Sổ đỏ/Sổ hồng,Chưa rõ,Chưa rõ,44.91525423728814,0.9745596399981308,4.07753744390572
"Quỹ căn Nội Bộ Masterise Homes tại Vin Ocean Park 1. CK tới 15%, thanh toán linh hoạt, giá tốt nhất","The Lake, Trâu Quỳ, Gia Lâm, Hà Nội",Gia Lâm,16/12/2024,Căn hộ chung cư tại The Lake,"2,89 tỷ","47,6 m²",0,0,0,0,0,0,0,0,47.6,2.89,2.0,2.0,1.0,Căn hộ chung cư,Chưa rõ,Chưa rõ,Chưa rõ,60.714285714285715,1.0612565021243408,3.8628327612373745
Cập nhật quỹ 100 căn biệt thự và shophouse giá tốt nhất Vinhomes Ocean Park 0917 777 ***,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,12/12/2024,"Nhà biệt thự, liền kề tại Vinhomes Ocean Park Gia Lâm",24 tỷ,150 m²,0,0,0,0,0,Sổ đỏ/ Sổ hồng,0,0,150.0,24.0,5.0,5.0,4.0,"Nhà biệt thự, liền kề",Sổ đỏ/Sổ hồng,Chưa rõ,Chưa rõ,160.0,3.1780538303479458,5.0106352940962555
Cập nhật quỹ căn hot Zurich tại Vinhomes Ocean Park - Giá tốt nhất thị trường! LH 0911 269 ***,"Dự án The Zurich - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội",Gia Lâm,13/12/2024,Căn hộ chung cư tại The Zurich - Vinhomes Ocean Park,"1,72 tỷ","28,2 m²",0,1 phòng,1 phòng,0,0,0,0,0,28.2,1.72,1.0,1.0,1.0,Căn hộ chung cư,Chưa rõ,Chưa rõ,Chưa rõ,60.99290780141844,0.5423242908253617,3.339321977944068
Em Trang Vinhomes gửi căn rẻ nhất Vinhomes 47.5m2-63m2-100m2 giá từ 59tr/m2 (Ko ảo - Ko làm phiền),"Dự án Vinhomes Smart City , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,11/12/2024,Căn hộ chung cư tại Vinhomes Smart City,"4,15 tỷ",68 m²,0,3 phòng,2 phòng,0,0,0,0,0,68.0,4.15,3.0,2.0,1.0,Căn hộ chung cư,Chưa rõ,Chưa rõ,Chưa rõ,61.029411764705884,1.423108334242607,4.219507705176107
Tổng hợp quỹ căn hộ đẹp giá tốt nhất toà S217 The S - Vista LH em Quý 0945 352 *** nhận TT,"Dự án The Sapphire 2 - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội",Gia Lâm,16/12/2024,Căn hộ chung cư tại The Sapphire 2 - Vinhomes Ocean Park,59 triệu/m²,43 m²,Đông - Bắc,1 phòng,1 phòng,0,0,Hợp đồng mua bán,Cơ bản,0,43.0,2.537,1.0,1.0,1.0,Căn hộ chung cư,HĐMB,Cơ bản,Đông - Bắc,59.0,0.9309822806171448,3.7612001156935624
"Chính chủ bán căn hộ 1PN+ tòa GS2 tại Vinhomes Smart City, 3,05 tỷ","Vinhomes Smart City , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,16/12/2024,Căn hộ chung cư tại Vinhomes Smart City,"3,05 tỷ",43 m²,Tây - Bắc,1 phòng,1 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,43.0,3.05,1.0,1.0,1.0,Căn hộ chung cư,Sổ đỏ/Sổ hồng,Đầy đủ/Cao cấp,Tây - Bắc,70.93023255813954,1.1151415906193203,3.7612001156935624
"Bán căn góc 3 mặt tiền đẹp nhất, giá tốt nhất Vinhomes Cổ Loa","Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,13/12/2024,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa","49,4 tỷ","148,9 m²",Tây,0,0,0,0,Hợp đồng mua bán,0,0,148.9,49.4,5.0,5.0,4.0,"Nhà biệt thự, liền kề",HĐMB,Chưa rõ,Tây,331.7662860980524,3.899950424193877,5.003274939689963
"Bán liền kề 5 tầng. BT tại Vinhomes Cổ Loa, 14,3 tỷ, Quà tặng 250tr HTLS 36 tháng. LH 0985 429 ***","Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,12/12/2024,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa","14,34 tỷ",63 m²,Đông - Bắc,4 phòng,4 phòng,5 tầng,5 m,Hợp đồng mua bán,0,13 m,63.0,14.34,4.0,4.0,5.0,"Nhà biệt thự, liền kề",HĐMB,Chưa rõ,Đông - Bắc,227.61904761904762,2.663052835171474,4.143134726391533
Biệt thự Dương Nội quỹ căn vip giá f0: Đường lớn-căn góc-view chung cư ck tới 13% từ cđt Nam Cường,"Solasta Mansion Dương Nội, Tố Hữu, Dương Nội, Hà Đông, Hà Nội",Hà Đông,12/12/2024,"Nhà biệt thự, liền kề tại Solasta Mansion Dương Nội","31,9 tỷ","212,5 m²",0,0,0,0,0,Sổ đỏ/ Sổ hồng,0,0,212.5,31.9,5.0,5.0,4.0,"Nhà biệt thự, liền kề",Sổ đỏ/Sổ hồng,Chưa rõ,Chưa rõ,150.11764705882354,3.462606009790799,5.358941988364472
"Chính chủ em bán tòa nhà Mặt Phố Nguyễn Khuyễn, Văn Quán, Hà Đông, 75m2, 9 tầng, Giá 24.8 tỷ","Đường Nguyễn Khuyến, Phường Văn Quán, Hà Đông, Hà Nội",Hà Đông,15/12/2024,Nhà mặt phố tại đường Nguyễn Khuyến,24 tỷ,75 m²,0,6 phòng,0,9 tầng,"5,5 m",Sổ đỏ/ Sổ hồng,0,24 m,75.0,24.0,6.0,5.0,9.0,Nhà mặt phố,Sổ đỏ/Sổ hồng,Chưa rõ,Chưa rõ,320.0,3.1780538303479458,4.31748811353631
"Hot! Mở bán quỹ CH độc quyền dự án Eurowindow sát VH Cổ Loa, CH 2PN full Nt giá 3,55 tỷ ở + đầu Tư","Dự án Eurowindow River Park, Đường 5, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,15/12/2024,Căn hộ chung cư tại Eurowindow River Park,"3,55 tỷ",63 m²,Tây - Bắc,2 phòng,2 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,63.0,3.55,2.0,2.0,1.0,Căn hộ chung cư,Sổ đỏ/Sổ hồng,Đầy đủ/Cao cấp,Tây - Bắc,56.34920634920635,1.2669476034873244,4.143134726391533
"Ra mắt quỹ căn Shophouse góc vip nhất Himlam Thường Tín - Không alo ngay là lỡ, là tiếc","Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",Thường Tín,11/12/2024,"Shophouse, nhà phố thương mại tại Him Lam Thường Tín",220 triệu/m²,140 m²,Tây,0,0,0,0,Hợp đồng mua bán,0,33 m,140.0,30.8,5.0,4.0,5.0,"Shophouse, nhà phố thương mại",HĐMB,Chưa rõ,Tây,220.0,3.427514689979529,4.941642422609304
"Bán nhà chia lô khu Trung Kính, Phường Yên Hoà - Quận Cầu Giấy","Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội.",Cầu Giấy,15/12/2024,Nhà riêng tại phố Trung Kính,"31,8 tỷ","68,9 m²",0,3 phòng,0,3 tầng,"5,1 m",Có sổ.,0,0,68.9,31.8,3.0,4.0,3.0,Nhà riêng,Sổ đỏ/Sổ hồng,Chưa rõ,Chưa rõ,461.5384615384615,3.459466289786131,4.232656178019613
"THÁNG 12/2024! QUỸ CĂN CHUYỂN NHƯỢNG 80M2-101M2-135M2-200M2-280M2 VỊ TRÍ ĐẸP, RẺ HƠN THỊ TRƯỜNG 30%","Dự án An Lạc Green Symphony, Đường Vành Đai 3.5, Xã Vân Canh, Hoài Đức, Hà Nội",Hoài Đức,15/12/2024,"Nhà biệt thự, liền kề tại An Lạc Green Symphony",140 triệu/m²,216 m²,Đông - Nam,0,0,0,0,0,0,0,216.0,30.24,5.0,5.0,4.0,"Nhà biệt thự, liền kề",Chưa rõ,Chưa rõ,Đông - Nam,140.0,3.4091655513113324,5.375278407684165
(Giá mềm) Soha Land cập nhật quỹ bán căn hộ chung cư 1PN 2PN 3PN Vinhomes D'Capitale Trần Duy Hưng,"Vinhomes D'Capitale, 119, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",Cầu Giấy,15/12/2024,Căn hộ chung cư tại Vinhomes D'Capitale,"6,4 tỷ",72 m²,0,2 phòng,2 phòng,0,0,Sổ đỏ lâu dài + Quỹ căn HĐMB 50 năm,Đầy đủ - Hoặc cơ bản,0,72.0,6.4,2.0,2.0,1.0,Căn hộ chung cư,Sổ đỏ/Sổ hồng,Đầy đủ/Cao cấp,Chưa rõ,88.88888888888889,1.8562979903656263,4.276666119016055
"Chính chủ trên sổ đỏ bán gấp Căn S4, 53m Vinhome Smart City, 3ty290, Đông Nam view công viên thoáng","Vinhomes Smart City , Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,14/12/2024,Căn hộ chung cư tại Vinhomes Smart City,"3,29 tỷ",53 m²,Đông - Nam,2 phòng,1 phòng,0,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,53.0,3.29,2.0,1.0,1.0,Căn hộ chung cư,Sổ đỏ/Sổ hồng,Đầy đủ/Cao cấp,Đông - Nam,62.075471698113205,1.1908875647772805,3.970291913552122
"Cđt nam cường mở bán dãy s01 đối diện chung cư, mặt đường 30m - vay miễn lãi 3 năm, chiết khấu 12%","Solasta Mansion Dương Nội, Tố Hữu, Dương Nội, Hà Đông, Hà Nội",Hà Đông,05/12/2024,"Nhà biệt thự, liền kề tại Solasta Mansion Dương Nội",32 tỷ,"212,5 m²",Đông - Bắc,5 phòng,6 phòng,4 tầng,9 m,Sổ đỏ/ Sổ hồng,Không nội thất,30 m,212.5,32.0,5.0,6.0,4.0,"Nhà biệt thự, liền kề",Sổ đỏ/Sổ hồng,Không nội thất,Đông - Bắc,150.58823529411765,3.4657359027997265,5.358941988364472
Cân bán nhà mặt đường Cổ Nhuế.,"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,15/12/2024,Nhà mặt phố tại đường Cổ Nhuế,25 tỷ,172 m²,Đông - Bắc,5 phòng,5 phòng,4 tầng,5 m,Sổ đỏ/ Sổ hồng,0,13 m,172.0,25.0,5.0,5.0,4.0,Nhà mặt phố,Sổ đỏ/Sổ hồng,Chưa rõ,Đông - Bắc,145.34883720930233,3.2188758248682006,5.147494476813453
